title,picture,url,media,press,campaign
"Two babies have died in England’s prisons in recent years, and pregnant women have appalling stories to tell",https://www.welevelup.org/wp-content/uploads/2023/10/Screenshot-2023-10-17-at-14.51.36.png,https://inews.co.uk/opinion/doctors-agree-that-prison-isnt-safe-for-pregnant-women-so-why-are-we-still-locking-them-up-2657607,inews.co.uk,Yes,PREGNANCY IN PRISON
Dozens of women accused of illegal abortions face police investigations,https://www.welevelup.org/wp-content/uploads/2023/10/Screenshot-2023-10-17-at-16.01.00.png,https://www.independent.co.uk/news/uk/home-news/abortions-police-investigation-women-b2358894.html,independent.co.uk,Yes,ABORTION IS HEALTHCARE
Anna was terrified she might lose her first-born while pregnant in prison. She says the BBC show Time is an accurate representation of her harrowing experience,https://www.welevelup.org/wp-content/uploads/2023/11/Screenshot-2023-11-07-at-20.49.24.png,https://inews.co.uk/inews-lifestyle/the-guilt-i-feel-for-having-my-son-in-that-environment-is-unreal-what-its-like-to-give-birth-in-prison-2729284,inews.co.uk,Yes,PREGNANCY IN PRISON
Women on remand more likely to self-harm | Prison Reform Trust,https://www.welevelup.org/wp-content/uploads/2023/11/Screenshot-2023-11-07-at-20.50.46.png,"https://prisonreformtrust.org.uk/women-on-remand-more-likely-to-self-harm/#:~:text=In%202021%2C%20over%20half%20of,two%20in%20five%20(43%25).",Prison Reform Trust,Yes,PREGNANCY IN PRISON
L’Oréal Urged To Withdraw Hair Relaxers From Possible Link To Cancer | FOX SOUL’s Black Report,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.39.15.png,No URL,youtube,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Feminist Community Calls for L’Oréal to Remove Toxic Ingredients from Hair Relaxers,https://www.welevelup.org/wp-content/uploads/2023/06/Screenshot-2023-06-02-at-12.20.32.png,https://newyork.legalexaminer.com/legal/feminist-community-calls-for-loreal-to-remove-toxic-ingredients-from-hair-relaxers/,newyork.legalexaminer.com/,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Feminist Community Calls for L’Oréal to Remove Toxic Ingredients from Hair Relaxers,https://www.welevelup.org/wp-content/uploads/2023/06/Screenshot-2023-06-02-at-12.20.32.png,https://newyork.legalexaminer.com/legal/feminist-community-calls-for-loreal-to-remove-toxic-ingredients-from-hair-relaxers/,newyork.legalexaminer.com/,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
‘I was terrified I would have a miscarriage in prison’: The plight of pregnant women behind bars,https://www.welevelup.org/wp-content/uploads/2023/06/Screenshot-2023-06-12-at-13.24.24.png,https://inews.co.uk/inews-lifestyle/miscarriage-prison-plight-pregnant-women-behind-bars-2399114?ito=twitter_share_article-top,inews.co.uk,Yes,PREGNANCY IN PRISON
Do hair relaxers cause cancer?,https://www.welevelup.org/wp-content/uploads/2023/06/Screenshot-2023-06-12-at-13.27.57.png,https://open.spotify.com/episode/1Dhk6Ix9BaM7dxux6RYFdH?si=WpuKStSLTQGtWxuTbragUQ&context=spotify%3Ashow%3A45KR1PdBnW4VWkkZIqKrcp,spotify,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
‘No births behind bars’: Protesters demand an end to the imprisonment of pregnant women,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.49.11.png,https://metro.co.uk/2023/03/18/london-protesters-demand-an-end-to-the-imprisonment-of-pregnant-women-18465479/,metro.co.uk,Yes,PREGNANCY IN PRISON
